DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
(missing DOI),Development of the self-directed learning readiness scale,Lucy M. Guglielmino,UMI Dissertation Services eBooks,1977,(missing abstract),161771350,704,0,,acesso_semPDF
(missing DOI),Self-directed learning : a guide for learners and teachers / Malcom S. Knowles,M. Knowles,(missing journal),1975,(missing abstract),276738521,540,0,,"Andragogia, aprendizagem autodirigida"
(missing DOI),"Self-direction in Adult Learning: Perspectives on Theory, Research and Practice","Ralph G. Brockett, Roger Hiemstra",(missing journal),1991,"A self-directed learner is one who takes sole responsibility for his or her own learning. The idea is not a new one but has recently received renewed attention in education circles and has particular significance for the adult education sector. Self-direction represents a significant shift from traditional academic planning. It emphasizes autonomy and personal development and is now considered an important component of courses, not just in independent study or for external degrees, but in, for example, literacy training, continuing professional training, or computer and video technology. Self-Direction in Adult Learning provides the reader, whether academic or professional, with a comprehensive synthesis of developments, issues and practices related to self-direction and learning. Suggesting that self-direction should be considered as a way of life, it presents strategies for facilitating self-directed learning as an instructional method and for enhancing learner self-direction as an aspect of adult personality. Together with an analysis of current research trends, the book has chapters on major issues for practice, including institutional perspectives of self-direction, and policy issues.",219166134,436,0,,aprendizagem autodirigida
(missing DOI),A Conceptual Model for Understanding Self-Directed Learning in Online Environments.,"Liyan Song, Janette R. Hill",Journal of Interactive Online Learning,2007,"Research indicates that online learning often situates control of implementation with the learner. Recently, scholars have turned attention to the importance of self-directed learning (SDL) skills for online learning environments. Existing frameworks for understanding SDL focus primarily on process and personal attributes in face-to-face settings. Some frameworks depict SDL as a process, focusing on learner autonomy in the learning processes; other frameworks emphasize personal attributes, focusing on learner’s capabilities of regulating the learning process. Yet, the level of self-direction needed may change in different contexts. The purpose of this paper is to introduce a research-based framework for understanding SDL in online learning contexts. Implications for future research and practice are provided at the end of the paper.",261532317,426,33,,"EAD, aprendizagem autodirigida"
10.1007/s10648-008-9082-7,Self-Directed Learning in Problem-Based Learning and its Relationships with Self-Regulated Learning,"Sofie M. M. Loyens, Joshua Magda, R. Rikers",(missing journal),2008,(missing abstract),276100891,397,1,,"acesso_comPDF, aprendizagem autodirigida"
10.1177/0001848186036002004,Development and Validation of an Instrument to Identify Self-Directed Continuing Learners,L. Oddi,(missing journal),1986,"This study sought to describe the personality characteristics of self-directed continuing learners, develop an instrument to identify such learners, and conduct empirical investigations to validate the instrument. Dimensions of the self-directed continuing learner's personality were developed and then used in the construction of an item pool. Prepilot and pilot study results provided the basis for refining the items into a 24-item instrument. When administered to a sample of 271 graduate students, the instrument demonstrated an internal consistency of .87 and a test-retest reliability of .89. Estimates of construct validity were obtained through correlation of scores with measures of educational participation, adult intelligence, self-confidence, endurance, and affiliation; results suggest the instrument is a valid tool for identifying self-directed continuing learners when used in its entirety.",163300077,237,21,,"acesso_comPDF, aprendizagem autodirigida, referencial teorico"
10.1080/13562510802169756,Self-directed learning – a learning issue for students and faculty!,"C. Silén, Lars Uhlin",(missing journal),2008,"Self-directed learning (SDL), is an essential concept in problem-based learning (PBL), and, in a broader sense, student-centred learning. Considering the complex nature of SDL, it has been taken for granted and given a shallow meaning, i.e. self-study. In order to develop a deeper understanding and make use of the potential in SDL, this paper discusses and puts forward a more profound meaning. The importance of regarding becoming a self-directed learner as a learning process, and the need for teachers to take part in the learning, is crucial. Two ‘thinking models’, one concerning the PBL tutorial work and one the relationship between tutorial work and self-study, are introduced. The unifying idea behind the reasoning is to emphasise the essence of providing opportunities for, as well as stimulating, the students’ inquiring approach and responsibility.",160384092,165,38,,"acesso_comPDF, aprendizagem autodirigida"
10.3928/0148-4834-20020101-06,A new perspective on competencies for self-directed learning.,"C. Patterson, D. Crooks, O. Lunyk-Child",The Journal of nursing education,2002,"In baccalaureate in nursing programs, self-directed methods of education have been used for many decades. A major goal of this type of approach to education is to provide students with the necessary competencies to become lifelong learners. Students must be exposed to self-directed learning competencies to obtain the knowledge, skills, and attributes unique to their personal and professional growth. It has been proposed that six competencies are required for students to become self-directed learners: self-assessment of learning gaps; evaluation of self and others; reflection; information management; critical thinking; and critical appraisal. Each of these skills are not mutually exclusive but are interrelated in such a way that students use all or a combination of them simultaneously to direct and control their learning.",135076375,162,12,,acesso_semPDF
10.1177/0741713610380447,Development of the PRO-SDLS: A Measure of Self-Direction in Learning Based on the Personal Responsibility Orientation Model,"S. Stockdale, R. Brockett",(missing journal),2011,The purpose of this study was to develop a reliable and valid instrument to measure self-directedness in learning among college students based on an operationalization of the personal responsibility orientation (PRO) model of self-direction in learning. The resultant 25-item Personal Responsibility Orientation to Self-Direction in Learning Scale (PRO-SDLS) was found to be a highly reliable instrument in the selected sample of graduate and undergraduate education students. Confirmatory factor analysis established that a four latent variable model fit the data. Scores from the PRO-SDLS were significantly related to criterion variables thought to demonstrate self-direction and to a known instrument of self-direction while accounting for additional variance. Recommendations for further research in the ongoing process of scale validation and implications for practice are provided.,96750617,133,63,,"acesso_comPDF, aprendizagem autodirigida"
(missing DOI),Self-directed learning in health professions education.,"M. Murad, P. Varkey","Annals of the Academy of Medicine, Singapore",2008,"INTRODUCTION
Self-directed learning has been recommended as a promising methodology for lifelong learning in medicine. However, the concept of self-directed learning continues to be elusive, with students and educators finding difficulty in defining it and agreeing on its worth.


METHODS
In this paper we review the literature of self-directed learning in health professions education and present a framework based on Malcolm Knowles' key components of self-directed learning.


RESULTS
The key components of self-directed learning are: the educator as a facilitator, identification of learning needs, development of learning objectives, identification of appropriate resources, implementation of the process, commitment to a learning contract and evaluation of learning. Several but not all of these components are often described in the published literature.


CONCLUSION
Although the presented framework provides some consistency for educators interested in applying SDL methods, future studies are needed to standardise self-directed learning curricula and to determine the effectiveness of these components on educational outcomes.",20112800,128,68,,"aprendizagem autodirigida, saude"
10.1177/0273475313494010,Self-Directed Learning,"Stefanie L. Boyer, D. Edmondson, Andrew B. Artis, David E. Fleming",(missing journal),2014,"A meta-analytic review of self-directed learning (SDL) research over 30 years, five countries, and across multiple academic disciplines is used to explore its relationships with five key nomologically related constructs for effective workplace learning. The meta-analysis revealed positive relationships between SDL and internal locus of control, motivation, performance, self-efficacy, and support. The use of an actual SDL project in an undergraduate sales management course and an MBA selling and sales management course is used to provide supporting evidence and practical advice for educators seeking to use SDL to promote lifelong learning skills in students.",22259836,128,55,,"acesso_comPDF, aprendizagem autodirigida"
10.4135/9781483328782,Assessment Strategies for Self-Directed Learning,"Arthur L. Costa, B. Kallick",(missing journal),2003,"The best ebooks about Assessment Strategies For Self Directed Learning that you can get for free here by download this Assessment Strategies For Self Directed Learning and save to your desktop. This ebooks is under topic such as assessment strategies for self directed learning experts effective online instructional and assessment strategies self-assessment in self-directed learning: can we trust it formative assessment strategies in math professional learning strategies self-assessment tool why we need self-directed learners authentic assessment strategies in problem based learning techniques, tools, and resources for the self-directed learner developing self-regulated learning skills in young students 9 assessment strategies for enquiry and problem-based learner autonomy, self-directed learning and assessment promoting self directed learning skills in first year students practice-based learning and improvement investigating learning by teaching and learning by assessment a conceptual model for understanding self-directed teachersÃ¢Â€ÂTM perception on assessment strategies student self-assessment: the key to stronger student assessment and feedback to facilitate self-directed the effect of self directed learning tasks on attitude international journal of self-directed learning self directed support learning exercise evaluation the impact of self-directed learning strategies on reading self-directed learning, intrinsic motivation and student formative assessment and motivation: theories and themes assessment for learning: reconsidering portfolios and approaches to teaching, learning and assessment and the helping students become self-directed learners self direction strategies edtech leaders online differentiated assessment strategies: identifying learners facilitating the development of self-directed learning effective online assessment strategies for today's use assessment and evaluation strategies self directed learning package patient falls prevention",24424648,125,0,,"acesso_comPDF, acesso_semPDF, aprendizagem autodirigida"
10.5688/ajpe847512,Developing Self-Directed Learners,"Jennifer D. Robinson, A. Persky",American Journal of Pharmaceutical Education,2020,"Objective. To discuss the meaning of self-directed learning, challenges with implementation, and strategies to overcome obstacles in educational settings. In this paper we define self-directed learning, differentiate it from similar terminology, and discuss the empirical evidence for its development and strategies for its use within higher education. Summary. Self-directed learning as a defined teaching pedagogy has been around since the 1960s and can be used in classroom and experiential settings. It is a term that is commonly used to describe a set of skills that college graduates should possess. A self-directed learning environment is dramatically different from a lecture-based classroom where the educator determines the goals, the assessments administered, and pacing of the course content. During the self-directed learning process, the learner sets goals, determines how progress will be assessed, defines the structure and sequence of activities and a timeline, identifies resources, and seeks out feedback. When teaching individuals who are new to this model, care must be taken to appropriately scaffold and structure learning to develop the underlying soft skills needed for students to be successful as self-directed learners. When implementing this pedagogy in a classroom setting, challenges are faced both by the learner and the educator. Faculty members should proactively plan for potential challenges during the course design process.",202737822,104,32,,"aprendizagem autodirigida, referencial teorico"
10.1177/0001848187038001003,Perspectives On Self-Directed Learning,L. Oddi,(missing journal),1987,"Self-directed learning in adults is considered predominantly a process of self-instruction. This conception is inadequate because it fails to account for persistence in learning and excludes adults who are unable to plan self-instruction. These inadequacies, however, can be addressed by studying self-directed learning as it relates to the learner's personality. Linking self-directed learning and personality has several advantages: Self-directed learning could be studied independent of the mode of learning an individual selects, a relatively stable indicator of self-directed learning-personality-would be available for study, and the personality characteristics leading an individual to initiate and persist in learning would provide a more unified and comprehensive focus for the study of self-directed learning.",196428463,103,46,,"acesso_comPDF, aprendizagem autodirigida"
10.3928/0022-0124-19860501-14,Self-Directed Learning: From Theory to Practice,J. Beniak,(missing journal),1986,(missing abstract),16785544,87,0,,"acesso_semPDF, aprendizagem autodirigida"
10.1016/j.sbspro.2010.12.423,Self-directed learning in a socioconstructivist learning environment,"Foo Sze-yeng, Raja Maznah Raja Hussain",Procedia - Social and Behavioral Sciences,2010,(missing abstract),37832241,82,16,,aprendizagem autodirigida
10.1136/adc.74.4.357,Self directed learning.,"A. Towle, D. Cottrell",Archives of disease in childhood,1996,"The ability to acquire skills in self directed learning may be the key link between undergraduate education, postgraduate training, and continuing professional development. If future and current practitioners are to adopt an ongoing reflective and critical approach to practice, we should aim to provide learning opportunities that promote self confidence, question asking and reflection, openness and risk taking, uncertainty and surprise. Teaching techniques that encourage these skills are being introduced widely and have been shown to be at least as effective as traditional methods of education while promoting more enjoyment and enthusiasm among both staff and students.",225472563,66,9,,aprendizagem autodirigida
(missing DOI),Exploratory Study of the Relationship between Self-Directed Learning and Academic Performance in a Web-Based Learning Environment,"Pao-Nan Chou, Wei-Fan Chen",Online Journal of Distance Learning Administration,2008,"Through literature review, this paper examines six empirical studies. Three cases are from the United States and the other three are from studies conducted in Asian. The purpose of this study is to identify whether or not self-directed learning is a key factor leading to successful academic performance in webbased learning environments. The in-depth analysis and discussion of each study finds that the effect of self-directed learning on academic success in web-based environments is divergent among six case studies. Follow-up studies should exclude potential problems identified in this paper.",88150192,55,29,,"EAD, aprendizagem autodirigida"
(missing DOI),"Self-Direction in Adult Learning: Perspectives on Theory, Research, and Practice. Routledge Series on Theory and Practice of Adult Education in North America.","Ralph G. Brockett, Roger Hiemstra",(missing journal),1991,(missing abstract),81256884,54,0,,aprendizagem autodirigida
10.1177/1469787412467126,Enhancing self-directed learning through a content quiz group learning assignment,"N. Warburton, S. Volet",(missing journal),2013,"This article presents the findings of an empirical study that examined the learning value of a novel group assessment activity aimed at promoting first-year students’ development of basic self-directed learning skills required for university study. A content quiz group learning assignment was designed to enhance students’ capacity to ask appropriate questions to guide their enquiry, identify appropriate resources and tools, and draw links between different learning resources, all skills embedded within their learning in a science unit. Questionnaire data and written reflections revealed the extent to which students used core, accessory and optional resources to complete this assignment, which specific resources were perceived as most useful for what aspects of their content learning, and how strategy use was related to achievement. Metacognitive experiences expressed in the open questions and assessed reflections revealed students’ emerging awareness of how their approach to study impacted on the quality of their learning.",56671093,48,39,,aprendizagem autodirigida
10.1177/2158244014534857,An Examination of Learner Self-Direction in Relation to the Big Five and Narrow Personality Traits,"Jeral R. Kirwan, John W. Lounsbury, Lucy W. Gibson",SAGE Open,2014,"The present study addresses the relationship between learner self-direction and other personality traits of college students when the traits represented by the five-factor model of personality are differentiated from narrow personality traits. Correlation and multiple regression analyses were used with a sample of 2,102 college students to examine the unique individual relationship between Big Five and narrow personality traits and learner self-direction. Analysis of the data revealed five significant part correlations between specific traits and learner self-direction. The part correlations for Work Drive (.310) and Openness (.207) were significantly higher than all other part correlations. Neither Conscientiousness nor Agreeableness had significant part correlations despite having significant zero-order correlations with learner self-direction. Extroversion did not have a significant zero-order correlation with learner self-direction but the part correlation was significant. Results were discussed in terms of the predictive relationship between personality variables and learner self-direction. Study implications, some limitations, and possible directions for future research were noted.",191599726,32,90,,"Aprendiz_Universitario, aprendizagem autodirigida"
(missing DOI),Development of an Instrument to Measure Self-Directedness,Susan Stockdale,(missing journal),2003,"The purpose of this study was to develop a reliable and valid instrument to measure self-directedness in learning within the framework of the teaching-learning (TL) and learner characteristics (LC) components of the Personal Responsibility Orientation (PRO) Model of Self-Direction (Brockett & Hiemstra, 1 99 1 ) among college students. Accomplishing this purpose involved two stages: (a) the identification and operationization of reliable scale items that validly reflected the two components of the PRO model, and (b) the validation of the developed scale items with other related measures of self-direction. The resultant 35-item Personal Responsibility Orientation to Self-Direction in Learning Scale (PRO-SDLS) was a highly reliable (coefficient alpha = .92) instrument in the selected sample (N = 2 1 9) of graduate and undergraduate education students. Both TL and LC items were highly correlated with the scale total. The scores from the PRO-SDLS were significantly related to criterion variables thought to demonstrate self-direction. However, PRO-SDLS scores were not significantly related to professor­ ratings of students' self-direction. Additionally, scores from the PRO-SDLS were significantly related (r = . 76, p <.0 1 ) to a known instrument of self-direction (SDLRS) and accounted for additional variance beyond the SDLRS in predicting age, GP A, and class performance. Experts who examined the content of items on the PRO-SDLS rated 3 1 out ofthe 35 items appearing on the final version ofthe PRO-SDLS as representative of the PRO model.",51014607,28,51,,"acesso_comPDF, aprendizagem autodirigida"
10.12968/nrec.2002.4.2.9214,Self-directed learning.,L. Guglielmino,Family medicine,2004,(missing abstract),9845927,24,1,,"aprendizagem autodirigida, saude"
(missing DOI),Andragogy and Self-Directed Learning: Pillars of Adult Learning Theory,Iluminada Ong,(missing journal),2009,"The central question of how adults learn has occupied the attention of scholars and practitioners since the founding of adult education as a professional field of practice in the 1920s. Some eighty years later, we have no single answer, no one theory or model of adult learning that explains all that we know about adult learners, the various contexts where learning takes place, and the process of learning itself.  What we do have is a mosaic of theories, models, set of principles, and explanations that, combined, compose the knowledge base of adult learning. The purpose of this paper is to revisit two of the foundational theories of adult learning with an eye to assessing their â€œstaying powerâ€  as important components of our present-day understanding of adult learning.",223435072,24,0,,"Andragogia, aprendizagem autodirigida"
10.1080/13636820.2018.1463280,Vocational education of young adults in England: a systemic analysis of teaching–learning transactions that facilitate self-directed learning,T. Morris,(missing journal),2018,"Abstract Fostering the skills necessary for self-directed learning is an important endeavour of vocational education and training in many contexts internationally. However, there is a distinct lack of studies that investigate the extent to which facilitation of self-directed learning is present within vocational education and training in different contexts. An exploratory thematic qualitative analysis of inspectors’ comments within general Further Education college Ofsted inspection reports was conducted to investigate the balance of control of the learning process between teacher and learner within vocational education and training of young adults in England. A clear difference between outstanding and inadequate provision is reported. Inadequate provision was overwhelmingly teacher-directed. Outstanding provision reflected a collaborative relationship between teacher and learner in directing the learning process, despite the Ofsted framework not explicitly identifying the need for learner involvement in directing the learning process. The present paper offers insight into the understanding of how an effective balance of control of learning between teacher and learner may be realised in vocational education and training settings and highlights the need to consider the modulating role of contextual factors.",107643588,21,48,,aprendizagem autodirigida
(missing DOI),International Journal of Self-Directed Learning,"C. Davis, Carrie A. Bailey, M. Nypaver, T. Rees, R. Brockett",(missing journal),2011,"Scholars of self-directed learning look to define best practices in teaching and learning that promote an improvement in self-directed learning. In order to do this, learners need more awareness of the student learning outcomes that exist as part of their programs of study. Could the use of an e-portfolio system allow students to see their learning goals, determine how to meet those learning goals, and evaluate their own learning outcomes as a means to foster increased self-directed learning? The COVID-19 pandemic has highlighted weaknesses in our education system and has prompted renewed conversation about the structure of education. This article argues that the conversation should be more geared to the why of education (i.e., the purpose of schools) rather than the how (i.e., the multiple ways of delivering education both for in-person and remote settings). This article examines two conflicting philosophies of education. First, the model of self-directed learning put forward by Knowles in 1975 is presented and why it may be useful in our present circumstances. In contrast, Biesta’s critique of the rise of learning (and removal of teaching) in education will be presented, showing the political power at work in this discourse. Finally, a type of synthesis is reached between these two polarized positions with the help of Freire, arguing for a why of education that has rehumanization at its center.",32226647,18,586,,"Andragogia, Referencia_incorreta, acesso_comPDF, aprendizagem autodirigida"
10.1007/s13312-022-2501-x,The Concept of Self-Directed Learning: Implications for Practice in the Undergraduate Curriculum,"Anshu, P. Gupta, T. Singh",Indian Pediatrics,2022,"Self-directed learning (SDL) is a modality where learners are expected to take responsibility for their own learning, diagnose gaps in their learning, frame their own goals and resources for learning, implement appropriate learning strategies and evaluate learning outcomes. Flexibility and creativity in designing assignments for students to work individually or collaboratively are the keys to promoting SDL. The recent competency-based curriculum document from the National Medical Commission does not elaborate the concept or implementation of SDL, leaving it open to individual interpretation. We, herein, discuss the concept of SDL, address common misconceptions surrounding SDL, and elucidate strategies by which SDL skills can be inculcated in medical students using pre-existing opportunities in the curriculum. Flipped classrooms, reciprocal teaching, technology-enhanced methods, problem-based learning, and group projects are excellent ways of promoting SDL. SDL requires efforts and policies both at the teachers’ level and at the institutional level; and is an important input to achieve the goal of being a lifelong learner by the Indian medical graduate.",12239049,15,34,,"Aprendiz_Universitario, aprendizagem autodirigida"
10.1080/02680513.2022.2141105,Guidelines and strategies for fostering and enhancing self-directed online learning,"Meina Zhu, Curtis J. Bonk, Meina Zhu, Curtis J. Bonk","Open Learning: The Journal of Open, Distance and e-Learning",2022,"he aim of this article is to provide practical instructional design strategies to foster and enhance learners’ online self-directed learning skills and abilities; especially when accessing massive open online courses (MOOCs) and other forms of open educational resources and OpenCourseWare (OCW). In addition to attempting to understand self-directed online learning, a series of studies was conducted to explore how to motivate learners and enhance students’ self-management and self-monitoring skills in MOOCs. This article offers 15 practical guidelines for fostering learners’ self-directed online learning (SDOL) based on the authors’ past research, including extensive literature reviews, surveys, dozens of MOOC instructor and learner interviews, and many course content analyses. Detailed explanations and examples are provided to help readers understand each of the 15 individual strategies. It is hoped that these instructional design guidelines will be adopted by instructional designers of MOOCs as well as practitioners in their MOOC teaching practices.",251119782,11,40,,"EAD, aprendizagem autodirigida"
10.1001/jama.250.22.3077,"Problem-based, self-directed learning",Howard S. Barrows,JAMA,1983,(missing abstract),259577397,8,0,,"acesso_semPDF, aprendizagem autodirigida"
10.24297/jssr.v3i2.3207,The Antecedents toward Self-Directed Learning among Distance Learner in Malaysian Public Universities,"Nursyamilah Annuar, R. Shaari",(missing journal),2014,"This paper reviews the underpinning theories and past literature on self-directed learning in relation to self-efficacy by distance learner in higher learning institutions. There is little research available that systematically traces the extent to which individual and external factors play a role in level of self-directed learning ability. Subsequently, a number of hypotheses and a framework of self-directed learning are proposed. There are four hypotheses proposes which are there is a positive significant effect of motivation of self-directed learning; there is a significant positive effect of life satisfaction with self-directed learning; there is a mediate effect of self-efficacy which is significant and positive between motivation with self-directed learning; and there is a mediate effect of self-efficacy which is a significant and positive between life satisfaction and self-directed learning. The paper proposes that the students self-directed learning is influenced by or have relationship with students motivation and life satisfaction.",73907420,7,73,,"EAD, aprendizagem autodirigida"
10.5539/jel.v12n2p79,Lessons from Self-Directed Learning Activities and Helping University Students Think Critically,Orjika Paschal Chukwunemerem,Journal of Education and Learning,2023,"This work presents the benefits of self-directed learning activities as tools for enhancing critical thinking of university students. Self-directed learning is best introduced to students during the transition period from high school to the university (Van et al., 2015), and then reinforced throughout the university years. Interestingly, self-directed learning does not end within the university walls-it does exist beyond those walls. Hence, there is the need to nurture it during the university years so it can blossom afterwards. Early introduction or reinforcement of self-directed learning to university students is crucial because it can help students get accustomed to being self-directed in their learning at the university and beyond, thereby developing their critical thinking skills. The benefit of self-directed learning activities includes critical thinking skills, cooperative learning skills, freedom in learning, ICT, research skills, and other useful skills.",254054048,6,32,,"Ate_10_anos, aprendizagem autodirigida"
(missing DOI),Examination of The Big Five And Narrow Traits In Relation To Learner Self-Direction,Jeral R. Kirwan,(missing journal),2012,"Self-direction in learning is a major topic in the field of adult learning. There has been extensive coverage of the topic by theorists, researchers, and practitioners. However, there have been few studies which look at learner self-direction specifically as a personality trait. The present study addresses the relationship between learner selfdirection and other personality traits of college students when the traits represented by the five-factor model of personality (Digman, 1990) are differentiated from narrow personality traits. Archival data were used from an undergraduate sample at a large Southeastern U.S. university (sample size = 2102). Correlation and multiple regression analyses were used in examining the unique individual relationship between Big Five and narrow personality traits and learner self-direction. Analysis of the data revealed five significant part correlations between specific traits and learner self-direction. The part correlations for Work Drive (.310) and Openness (.207) were significantly higher than all other part correlations. Neither Conscientiousness nor Agreeableness had significant part correlations despite having significant zero-order correlations with learner self-direction. Extraversion did not have a significant zero-order correlation with learner self-direction but the part correlation was significant. Results were discussed in terms of the predictive relationship between personality variables and learner self-direction. Study implications, some limitations, and possible directions for future research were noted. Table of",115976145,2,171,,"acesso_comPDF, aprendizagem autodirigida"
